Whole Plots,X1,X2,Y
1,0,-1,
1,0,0,
2,0,1,
2,0,0,
3,-1,1,
3,-1,-1,
4,0,1,
4,0,0,
5,-1,1,
5,-1,-1,
6,1,"-0,11",
6,1,1,
7,-1,1,
7,-1,"-0,09",
8,1,-1,
8,1,1,
9,-1,-1,
9,-1,"0,12",
10,1,-1,
10,1,"0,09",
11,0,1,
11,0,0,
12,0,0,
12,0,-1,
13,1,-1,
13,1,1,
14,0,"0,05",
14,0,-1,
15,0,0,
16,0,0,
