X1,X2,X3,X4,Y
"0,5806362088","0,5120741251","0,2057247762","-0,748438752",
"0,9421778468","0,8432414746","-0,643012325","-0,974562758",
"0,8494822773","0,0584252288","-0,89737866","0,1343069203",
"0,1759946462","0,6457956984","0,9927502759","-0,870767632",
"0,978661121","0,4008530833","0,7951158253","-0,088804138",
"-0,954222893","0,1054951777","0,0617761158","-0,648163868",
"-0,9032833","0,8409564957","0,819684822","-0,418977204",
"-0,817060692","-0,906571941","0,9035602415","-0,993184673",
"-0,026133138","-0,731525116","0,7517925508","-0,599659214",
"-0,755646653","-0,226031006","-0,623124962","-0,865134313",
"-0,477342721","0,8953699059","-0,863477918","-0,660765639",
"0,8950723709","-0,793531818","0,1091251402","0,4243875391",
"0,1265159015","-0,922421883","-0,254536039","-0,164048064",
"0,7547458076","-0,342618151","-0,446856006","-0,507982034",
"0,6961681823","-0,986499552","-0,995161344","-0,846470342",
"0,057243349","-0,165538849","-0,774215447","-0,356872369",
"-0,298845546","-0,704023523","-0,962300056","0,0463235905",
"-0,730812271","-0,521723041","0,1530807367","0,9240867583",
"-0,980970043","-0,824138825","-0,598540319","0,7260148607",
"-0,541113976","-0,136296162","-0,311025196","0,198362584",
"-0,68434934","-0,99332133","0,2550594252","-0,33520907",
"0,3541863617","0,0505698039","0,5037988987","-0,924216945",
"0,9683914133","-0,622851296","0,3831675882","-0,719178584",
"0,3948632854","-0,361498183","0,9236310537","0,1108014602",
"-0,61141296","-0,038004266","0,9615236313","0,6317641866",
"0,0309024035","0,1489285715","0,8390653961","0,9839488027",
"-0,185950409","0,959444397","-0,411551865","0,9026255293",
"-0,099486112","-0,285698534","-0,090993454","0,7933088454",
"-0,712915643","0,7734956126","-0,934295654","0,7668163233",
"-0,370883196","0,2340152412","-0,514925581","-0,211834631",
"0,1412685627","0,5270557447","-0,991170549","0,3359415688",
"-0,836993567","0,2802063571","0,4298897979","0,4730477352",
"-0,798766422","0,5409070384","-0,126335447","-0,130937353",
"-0,110566899","0,7883153611","0,332952175","0,0238007716",
"0,7799136813","0,9712792922","0,6446364474","-0,245706449",
"0,7036528571","0,7327720476","-0,526360061","0,4628686955",
"0,9291822157","0,6121993319","0,5299414252","0,8821323177",
"0,3083123645","-0,614960221","-0,805799293","0,9648222758",
"0,2645688363","0,4288004662","0,0287199778","0,6082962944",
"0,5237053258","-0,968022279","0,6089352761","0,6508872653",
