Whole Plots,X1,X2,Y
1,0,-1,
1,0,1,
1,0,0,
2,1,-1,
2,1,0,
2,1,1,
3,1,-1,
3,1,1,
3,1,0,
4,0,0,
4,0,0,
5,0,0,
5,0,-1,
6,1,0,
6,1,1,
7,-1,1,
7,-1,-1,
8,0,-1,
8,0,0,
9,1,-1,
9,1,0,
10,-1,-1,
10,-1,1,
11,-1,0,
11,-1,-1,
12,0,1,
12,0,0,
13,-1,1,
13,-1,"-0,15",
14,0,1,
14,0,0,
15,0,1,
15,0,0,
16,0,-1,
16,0,0,
