X1,X2,X3,X4,Y
"-0,739112165","-0,66855691","0,8464629614","-0,909300252",
"-0,155697662","-0,955300518","0,9517347747","-0,309575967",
"0,1578027815","-0,921342259","0,254310553","0,1689824257",
"0,9625645623","-0,317115797","0,8231235103","0,148362679",
"0,8304838244","-0,999177618","0,7623572291","-0,78945084",
"0,2600643827","-0,523785829","0,9805857124","0,9910349716",
"0,3571823152","-0,643997967","0,6868325632","0,0046497846",
"-0,23617051","-0,402869915","-0,011555626","-0,856806394",
"-0,982368657","-0,986174413","-0,856397163","-0,583832019",
"-0,296945271","0,0847074747","-0,930802299","-0,04591985",
"0,8677930965","-0,550191745","-0,48153983","-0,998694577",
"0,625698876","-0,061694243","-0,402979761","-0,292125571",
"0,4622582596","-0,816582699","-0,168157716","-0,616744441",
"-0,997494523","0,5661172521","0,9879034155","-0,233051191",
"-0,836298212","0,2120565009","0,4431130912","-0,767573621",
"-0,379113529","-0,189848638","0,7119800009","-0,573163033",
"0,4468145326","0,9761202803","0,9124776053","-0,514326375",
"0,5136676104","0,4718947259","0,3473378412","-0,987701431",
"0,7494249301","0,412487861","-0,828451157","-0,737382461",
"0,5917617475","0,9546532542","0,2124713789","0,2719698939",
"0,2391774673","0,8561604433","-0,945490901","-0,868543352",
"-0,923519863","0,9279517214","-0,45102865","-0,672374972",
"0,0476591314","0,2945629649","0,1607074972","-0,414413579",
"-0,615589099","0,8414131896","0,3700256622","-0,451734458",
"-0,088704588","0,7085808991","-0,192277908","-0,136190274",
"-0,875263031","-0,139230813","0,0780534481","-0,078117551",
"-0,814547521","0,734593158","-0,992125904","0,4111883777",
"-0,889972744","0,3567394687","-0,713369376","0,9168964376",
"0,9423024018","0,5096394076","-0,525807945","-0,000795859",
"0,9841294158","0,8736043502","0,060120178","0,9507529888",
"0,4098545652","0,4291442285","-0,326643069","0,4824134018",
"0,2943137085","-0,856668681","-0,904777217","0,6241208672",
"0,0804139292","-0,161644324","-0,592898625","0,2506283859",
"-0,527230473","-0,583774351","-0,223240929","0,1208962223",
"-0,671650531","-0,898331463","-0,408590987","0,942798587",
"0,7271719299","-0,203930937","-0,003426329","0,7873203965",
"0,9999986734","-0,775239961","-0,750415237","-0,428872867",
"0,8615965735","0,0720243872","0,5053259949","0,4163903191",
"-0,10264721","0,1144864405","0,7986753785","0,8864583381",
"0,7804171084","0,6697292665","0,9449284103","0,6030260175",
"0,1054405759","0,8040836741","0,6380209611","0,8087343632",
"-0,935798362","-0,702593249","0,2922038472","0,7672083593",
"-0,46707445","-0,102226978","0,8947232753","0,5133603443",
"-0,731228239","0,5410396908","0,1854707335","0,6610595942",
"-0,168078407","0,5826416873","0,5856233857","0,349886795",
