X1,X2,X3,X4,Y
"0,8506725146","0,3918580755","0,137916216","0,0374592456",
"0,704615546","0,9460521808","-0,857519713","-0,97268679",
"0,5566371652","0,5761257148","-0,579221768","0,7070822363",
"0,8840365917","-0,956078912","-0,248333692","-0,778457007",
"0,6579822699","-0,296571592","-0,056331133","0,9792527875",
"0,3744617979","-0,875807285","-0,967637124","0,2137520127",
"0,9470285774","0,9849524715","0,9850417441","0,4666736203",
"0,2339040704","0,5216072902","0,9086597167","-0,891068282",
"-0,543073827","-0,999493783","0,952664952","-0,075469922",
"-0,182520376","-0,367312964","0,2166113965","-0,992844354",
"0,1188540794","-0,789734382","0,8033087545","0,7720653002",
"0,5005750811","-0,514238859","0,627433745","-0,507234366",
"-0,907195954","0,6043565733","-0,998140162","-0,738400353",
"-0,336087664","0,894186492","0,3229630231","-0,316154695",
"-0,771855631","0,3576061519","0,5486132699","0,8845070055",
"-0,084546074","0,7280288898","-0,334427314","0,1791247309",
"-0,37775335","0,1927025834","-0,912729742","0,5441192881",
"-0,952085305","-0,588053128","-0,264858937","0,6437350269",
"0,023713958","-0,645714599","-0,619351902","-0,225771123",
"-0,606766121","-0,092680262","-0,463191431","-0,6148113",
