X1,X2,Y
"0,7350498213","0,2032121264",
"0,9984718333","0,428401953",
"0,8874741448","-0,004121522",
"0,3388342985","0,3178766399",
"0,0807190492","0,6614305962",
"0,6695770974","0,5695735405",
"0,9266285101","0,9966102722",
"0,4017384245","0,7791731853",
"0,5787649801","0,8838123654",
"-0,214290356","0,034537045",
"0,0434190526","-0,154704406",
"0,2127806466","0,1110910135",
"0,4966740289","-0,087231355",
"0,9737931399","-0,681185899",
"0,8013192685","-0,281958257",
"0,2917029375","-0,572899148",
"0,6266002608","-0,472628456",
"0,4344097546","-0,996258522",
"0,851549264","-0,885698672",
"0,1666478776","0,9581935722",
"-0,255592411","0,8313198508",
"-0,05645992","0,3961226388",
"-0,40412996","0,5298738212",
"-0,804256597","0,452899581",
"-0,620519674","0,7414669906",
"-0,952147714","0,9293500925",
"-0,899350711","0,1557629641",
"-0,99388431","-0,313353086",
"-0,671436217","-0,035346239",
"-0,520340279","0,2685817314",
"-0,741689808","-0,97232717",
"-0,594980921","-0,525064984",
"-0,855033658","-0,751793147",
"-0,010448724","-0,709472828",
"-0,114873119","-0,364060823",
"0,1393574486","-0,825433761",
"-0,364970009","-0,638877655",
"-0,182549846","-0,923938277",
"-0,308203767","-0,236445188",
"-0,459789742","-0,419680889",
