Whole Plots,X1,X2,X3,X4,Y
1,1,1,-1,1,
1,1,1,1,1,
1,1,1,0,-1,
1,1,1,1,0,
1,1,1,0,1,
1,1,1,-1,-1,
1,1,1,1,-1,
2,1,-1,-1,0,
2,1,-1,0,0,
2,1,-1,1,-1,
2,1,-1,-1,1,
2,1,-1,1,1,
2,1,-1,0,1,
2,1,-1,-1,-1,
3,-1,-1,-1,-1,
3,-1,-1,0,-1,
3,-1,-1,1,0,
3,-1,-1,1,1,
3,-1,-1,0,0,
3,-1,-1,-1,1,
4,0,0,0,0,
4,0,0,0,0,
4,0,0,0,0,
4,0,0,0,-1,
4,0,0,-1,1,
4,0,0,1,0,
5,-1,0,-1,0,
5,-1,0,1,-1,
5,-1,0,0,-1,
5,-1,0,1,1,
5,-1,0,0,1,
5,-1,0,-1,0,
6,0,-1,-1,1,
6,0,-1,1,0,
6,0,-1,-1,-1,
6,0,-1,0,1,
6,0,-1,1,-1,
6,0,-1,0,0,
7,-1,1,1,-1,
7,-1,1,0,1,
7,-1,1,0,0,
7,-1,1,1,0,
7,-1,1,-1,-1,
7,-1,1,-1,1,
8,0,"0,14",-1,0,
8,0,"0,14",0,-1,
8,0,"0,14",0,0,
8,0,"0,14",0,0,
8,0,"0,14",1,1,
8,0,"0,14",0,0,
