Whole Plots,X1,X2,X3,X4,Y
1,1,1,1,1,
1,1,1,0,1,
1,1,1,-1,1,
1,1,1,1,0,
1,1,1,-1,-1,
1,1,1,1,-1,
2,1,"-0,39",0,-1,
2,1,"-0,39",-1,1,
2,1,"-0,39",-1,0,
2,1,"-0,39",1,1,
2,1,"-0,39",1,-1,
2,1,"-0,39",0,0,
3,-1,-1,0,1,
3,-1,-1,-1,0,
3,-1,-1,1,-1,
3,-1,-1,-1,-1,
3,-1,-1,1,1,
3,-1,-1,0,0,
4,0,0,0,0,
4,0,0,0,-1,
4,0,0,0,0,
4,0,0,1,1,
4,0,0,1,0,
4,0,0,0,0,
5,"0,53",-1,-1,1,
5,"0,53",-1,-1,-1,
5,"0,53",-1,0,0,
5,"0,53",-1,1,-1,
5,"0,53",-1,1,0,
5,"0,53",-1,0,1,
6,-1,1,0,0,
6,-1,1,1,-1,
6,-1,1,-1,1,
6,-1,1,-1,-1,
6,-1,1,1,1,
7,-1,"-0,1",-1,-1,
7,-1,"-0,1",0,-1,
7,-1,"-0,1",0,0,
7,-1,"-0,1",-1,1,
7,-1,"-0,1",1,0,
8,0,"0,49",0,-1,
8,0,"0,49",0,1,
8,0,"0,49",0,0,
8,0,"0,49",-1,0,
8,0,"0,49",-1,0,
