Whole Plots,X1,X2,X3,X4,Y
1,0,0,1,1,
1,0,0,0,0,
1,0,0,0,0,
1,0,0,-1,1,
2,0,0,-1,-1,
2,0,0,0,0,
2,0,0,0,0,
2,0,0,1,-1,
3,-1,-1,-1,-1,
3,-1,-1,0,0,
3,-1,-1,1,1,
4,0,0,0,0,
4,0,0,0,0,
4,0,0,0,0,
5,0,-1,1,0,
5,0,-1,0,-1,
5,0,-1,-1,1,
6,-1,1,1,-1,
6,-1,1,-1,1,
6,-1,1,0,0,
7,-1,-1,0,1,
7,-1,-1,1,-1,
7,-1,-1,-1,0,
8,1,0,-1,1,
8,1,0,1,0,
8,1,0,0,-1,
9,0,1,-1,0,
9,0,1,1,1,
9,0,1,0,-1,
10,1,1,0,1,
10,1,1,1,0,
10,1,1,-1,-1,
11,-1,1,-1,-1,
11,-1,1,1,0,
11,-1,1,0,1,
12,1,-1,0,0,
12,1,-1,-1,-1,
12,1,-1,1,1,
13,-1,0,0,-1,
13,-1,0,-1,0,
13,-1,0,1,1,
14,0,0,0,0,
14,0,0,-1,1,
14,0,0,0,0,
15,1,-1,1,-1,
15,1,-1,-1,0,
15,1,-1,0,1,
16,1,1,1,-1,
16,1,1,-1,0,
16,1,1,0,1,
