Whole Plots,X1,X2,Y
1,0,0,
1,0,0,
1,0,-1,
1,0,1,
2,0,"0,02",
2,0,-1,
2,0,0,
3,0,0,
3,0,0,
3,0,1,
4,1,1,
4,1,-1,
4,1,0,
5,0,0,
5,0,-1,
5,0,1,
6,-1,0,
6,-1,-1,
6,-1,1,
7,1,1,
7,1,-1,
7,1,0,
8,-1,1,
8,-1,-1,
8,-1,0,
