X1,X2,Y
"0,4870839575","0,9984177789",
"0,2479802404","0,7823068228",
"0,9950048776","0,9222658377",
"0,8513494984","0,6374949875",
"0,40050403","0,2312775683",
"0,6425913484","0,4310034349",
"0,7585258272","0,1349020239",
"0,5773923902","-0,111631512",
"-0,435138346","0,2815963343",
"-0,335533835","-0,058744405",
"-0,216596875","0,4716634916",
"0,0941378203","0,3570816886",
"-0,028543784","0,0817772881",
"-0,999417581","0,5216851699",
"-0,54302906","0,5965835655",
"-0,681142482","0,9615440471",
"-0,831875452","0,7408436827",
"-0,29473514","0,8719632103",
"-0,083292008","0,6891856267",
"-0,745992161","0,0254803476",
"-0,902256563","0,1762744585",
"-0,958296448","-0,533312821",
"-0,483537104","-0,627072704",
"-0,627022359","-0,263959705",
"-0,795646779","-0,871358082",
"-0,24885575","-0,97762253",
"0,1735052092","-0,486343473",
"0,4568462675","-0,321821915",
"-0,147376334","-0,392815332",
"0,0055319026","-0,764014347",
"0,3541214718","-0,675936768",
"0,5229172421","-0,91650492",
"0,9642021563","-0,579466409",
"0,8962227851","-0,206819556",
"0,8032096585","-0,819544109",
