Whole Plots,X1,X2,Y
1,0,1,
1,0,0,
2,0,-1,
2,0,0,
3,1,1,
3,1,-1,
4,-1,1,
4,-1,-1,
5,0,"-0,03",
5,0,1,
6,1,1,
6,1,-1,
7,0,-1,
7,0,"0,06",
8,-1,-1,
8,-1,1,
9,1,0,
10,-1,0,
11,0,0,
12,0,0,
