Whole Plots,X1,X2,X3,X4,Y
1,0,0,0,0,
1,0,0,-1,-1,
1,0,0,0,0,
2,0,0,1,1,
2,0,0,1,-1,
2,0,0,0,0,
3,0,-1,0,0,
3,0,-1,-1,0,
3,0,-1,1,1,
4,-1,1,0,1,
4,-1,1,-1,0,
4,-1,1,1,-1,
5,1,0,-1,0,
5,1,0,0,-1,
5,1,0,1,1,
6,1,-1,0,1,
6,1,-1,-1,-1,
6,1,-1,1,0,
7,-1,-1,0,0,
7,-1,-1,1,-1,
7,-1,-1,-1,1,
8,-1,0,0,-1,
8,-1,0,1,0,
8,-1,0,-1,1,
9,1,1,-1,1,
9,1,1,1,-1,
10,0,0,0,0,
10,0,0,0,0,
11,1,1,1,1,
11,1,1,-1,-1,
12,-1,1,1,1,
12,-1,1,-1,-1,
13,0,1,0,1,
13,0,1,1,0,
14,0,0,0,0,
14,0,0,-1,1,
15,1,-1,-1,1,
15,1,-1,1,-1,
16,-1,-1,1,1,
16,-1,-1,-1,-1,
