X1,X2,Y
"0,5414723366","0,4353597655",
"0,9999613086","0,3775908258",
"0,8433209135","0,5166188142",
"0,8970607357","0,9586125775",
"0,720664884","0,7630278256",
"0,3044726211","0,9948599189",
"0,4183126546","0,6816926521",
"0,6758245219","-0,998232814",
"0,5865943085","-0,715619042",
"0,1179074996","-0,589168294",
"0,232646435","-0,949055967",
"0,9753115912","-0,857090403",
"0,3346074025","0,2627576557",
"0,1985829869","-0,048552177",
"0,0693221283","0,1733983788",
"0,3777318491","-0,187314948",
"0,4988476399","-0,400209219",
"0,2798353328","-0,472795664",
"-0,008708194","-0,251663448",
"0,8770157563","-0,549065886",
"0,7477507203","-0,330505372",
"0,8055652403","-0,111896934",
"0,9413013216","0,0399939753",
"0,6254485084","0,1293901341",
"-0,994944675","0,3994660349",
"-0,930029153","0,7401959714",
"-0,811937749","0,8844281396",
"-0,601837692","0,5344193306",
"-0,509857848","0,7968517243",
"-0,365418943","0,9336110791",
"-0,210614094","0,63030026",
"0,0262905679","0,8452293313",
"0,155662253","0,5712850636",
"-0,083285895","0,4790349134",
"-0,681299115","0,3513426839",
"-0,291336568","0,3055046135",
"-0,179754017","-0,142876998",
"-0,439223116","0,0888493255",
"-0,889317489","0,2273891816",
"-0,773687081","-0,014253723",
"-0,958716534","-0,362780475",
"-0,392680157","-0,42822093",
"-0,560422278","-0,292440073",
"-0,854331786","-0,973201133",
"-0,710095368","-0,677884943",
"-0,485615187","-0,772834264",
"-0,328013228","-0,629424477",
"-0,128457752","-0,515493872",
"-0,059168007","-0,814339573",
"-0,24396933","-0,897722777",
