X1,X2,Y
"0,6988742397","-0,349962456",
"0,9990361873","-0,434116888",
"0,9261757554","-0,00585968",
"0,5672738708","-0,09020842",
"0,772570664","0,2286919679",
"-0,021860838","-0,124351304",
"0,2522453783","-0,268924269",
"0,3770327081","0,0501672983",
"0,8850742398","-0,616154569",
"0,8160840955","-0,998663234",
"0,620470293","-0,736848918",
"0,4463238769","-0,493163495",
"0,5187361609","-0,928596929",
"0,2971824416","-0,841734113",
"0,0911003952","-0,666727648",
"-0,428300048","0,2860035007",
"-0,247303365","0,0974520916",
"-0,159597466","0,5178379195",
"0,4754820105","0,5801952248",
"0,206710881","0,3486900531",
"0,048611145","0,1899286362",
"0,1262403624","0,6824294825",
"-0,075341269","0,988010851",
"0,7228804431","0,9328096963",
"0,3308320521","0,8380815395",
"0,9679676834","0,3895317669",
"0,6463112487","0,4597523034",
"0,8609326089","0,7338275424",
"-0,998166858","-0,45129599",
"-0,665830506","-0,711515922",
"-0,915460032","-0,970807748",
"-0,212347724","-0,792004298",
"-0,455201275","-0,901645997",
"-0,376609344","-0,549452652",
"-0,114810302","-0,39366353",
"-0,503455688","-0,313306038",
"-0,31322167","-0,174033161",
"-0,574602565","-0,037545312",
"-0,726479129","0,1432611369",
"-0,813837769","-0,234676272",
"-0,957314235","0,0119434502",
"-0,880878594","0,4346907695",
"-0,628225919","0,613981623",
"-0,770294938","0,9088086783",
"-0,34713027","0,7835502105",
