X1,X2,Y
"0,682069572","0,0483770177",
"0,3564203947","0,4564242565",
"0,9955021167","0,3706659716",
"0,9433644905","-0,266627472",
"-0,040223267","0,5940867333",
"0,1688799258","0,8352129018",
"-0,212875578","0,9456952596",
"0,8344205524","0,8970125254",
"0,5384791625","0,6875030173",
"0,7735533534","-0,549479675",
"0,8867537629","-0,993598858",
"0,5919952601","-0,820617482",
"0,4515581957","-0,404947798",
"0,2268833344","-0,059434735",
"-0,258286908","-0,602758568",
"0,0319412664","-0,943290608",
"0,2920539697","-0,698756883",
"-0,621464158","0,100343067",
"-0,991997015","0,2459835058",
"-0,480709031","-0,33765688",
"-0,735599667","-0,215091426",
"-0,933775652","-0,479565502",
"-0,403207961","-0,871507209",
"-0,823110929","-0,762216998",
"-0,780588366","0,996581065",
"-0,877508775","0,5241789107",
"-0,545308742","0,7493594221",
"-0,337651017","0,3289355708",
"-0,125265551","-0,152856374",
"0,0827550977","0,179799114",
