Whole Plots,X1,X2,X3,X4,Y
1,0,-1,0,1,
1,0,-1,0,0,
1,0,-1,-1,-1,
1,0,-1,1,-1,
2,0,0,1,1,
2,0,0,0,0,
2,0,0,-1,-1,
2,0,0,0,0,
3,-1,0,-1,1,
3,-1,0,0,-1,
3,-1,0,0,0,
3,-1,0,1,0,
4,-1,1,1,-1,
4,-1,1,-1,1,
4,-1,1,-1,-1,
4,-1,1,1,1,
5,1,0,0,-1,
5,1,0,-1,0,
5,1,0,1,1,
6,-1,-1,-1,0,
6,-1,-1,1,-1,
6,-1,-1,1,1,
7,1,1,1,-1,
7,1,1,0,1,
7,1,1,-1,0,
8,0,0,0,0,
8,0,0,0,0,
8,0,0,-1,1,
9,1,-1,0,-1,
9,1,-1,-1,1,
9,1,-1,1,0,
10,0,1,1,0,
10,0,1,0,1,
10,0,1,-1,-1,
11,0,0,0,1,
11,0,0,0,0,
11,0,0,1,0,
12,0,0,0,0,
12,0,0,0,"0,02",
12,0,0,1,-1,
