X1,X2,Y
"0,2166054716","0,4672739578",
"-0,015535291","0,9985180281",
"0,9986304874","0,6630426197",
"0,5172642041","0,833594582",
"0,357470637","-0,004418292",
"0,9346244232","-0,265632909",
"0,7304653693","0,3213111916",
"-0,077303957","-0,9990589",
"0,1294295919","-0,641854195",
"0,8249330982","-0,758524084",
"0,441916268","-0,907921677",
"0,5971371561","-0,450021108",
"-0,995081721","-0,816777133",
"-0,730030378","-0,549000751",
"-0,471138497","-0,349791369",
"-0,922989527","0,0732354115",
"-0,33271838","0,2354476821",
"-0,173929874","-0,144630106",
"-0,589282925","0,5881262682",
"-0,812483609","0,8998679094",
